,dbn,school_name,borough,location,trees,crashes,pc,shootings,arrests,programs,bins
194,10X696,High School of American Studies at Lehman College,Bronx,"(40.873938, -73.895382)",2.0,4.0,0.0,12.0,7.0,0.0,0.0
195,11X249,Bronx Health Sciences High School,Bronx,"(40.874091, -73.833904)",0.0,14.0,0.0,9.0,3.0,2.0,0.0
196,11X253,Bronx High School for Writing and Communication Arts,Bronx,"(40.875953, -73.86197)",0.0,13.0,2.0,25.0,19.0,3.0,1.0
197,11X265,Bronx Lab School,Bronx,"(40.875953, -73.86197)",0.0,13.0,2.0,25.0,19.0,3.0,1.0
198,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Bronx,"(40.887831, -73.852694)",3.0,11.0,0.0,76.0,71.0,0.0,0.0
199,11X275,High School of Computers and Technology,Bronx,"(40.875953, -73.86197)",0.0,13.0,2.0,25.0,19.0,3.0,1.0
200,11X288,Collegiate Institute for Math and Science,Bronx,"(40.859665, -73.861006)",1.0,4.0,2.0,24.0,9.0,3.0,0.0
201,11X290,Bronx Academy of Health Careers,Bronx,"(40.875953, -73.86197)",,,,,,,
202,11X299,Astor Collegiate Academy,Bronx,"(40.859665, -73.861006)",,,,,,,
203,11X418,Bronx High School for the Visual Arts,Bronx,"(40.851405, -73.865036)",,,,,,,
204,11X455,Harry S Truman High School,Bronx,"(40.874091, -73.833904)",,,,,,,
205,11X508,Bronxdale High School,Bronx,"(40.859665, -73.861006)",,,,,,,
206,11X509,High School of Language and Innovation,Bronx,"(40.859665, -73.861006)",,,,,,,
207,11X513,New World High School,Bronx,"(40.887831, -73.852694)",3.0,11.0,0.0,76.0,71.0,0.0,0.0
208,11X514,The Bronxwood Preparatory Academy,Bronx,"(40.887831, -73.852694)",,,,,,,
209,11X542,Pelham Preparatory Academy,Bronx,"(40.859665, -73.861006)",,,,,,,
210,11X544,High School for Contemporary Arts,Bronx,"(40.875953, -73.86197)",,,,,,,
211,11X545,Bronx Aerospace High School,Bronx,"(40.875953, -73.86197)",,,,,,,
212,12X242,Mott Hall V,Bronx,"(40.831416, -73.877785)",,,,,,,
213,12X248,"Metropolitan High School, The",Bronx,"(40.827315, -73.897612)",,,,,,,
214,12X251,Explorations Academy,Bronx,"(40.8359, -73.890458)",,,,,,,
215,12X267,Bronx Latin,Bronx,"(40.827743, -73.900105)",,,,,,,
216,12X271,East Bronx Academy for the Future,Bronx,"(40.836356, -73.888361)",,,,,,,
217,12X278,Peace and Diversity Academy,Bronx,"(40.827315, -73.897612)",3.0,14.0,1.0,68.0,44.0,0.0,0.0
218,12X372,Urban Assembly School for Wildlife Conservation,Bronx,"(40.843945, -73.884788)",,,,,,,
219,12X388,Pan American International High School at Monroe,Bronx,"(40.831601, -73.878912)",,,,,,,
220,12X478,THE CINEMA SCHOOL,Bronx,"(40.831416, -73.877785)",,,,,,,
221,12X511,Bronx Envision Academy,Bronx,"(40.8359, -73.890458)",,,,,,,
222,16K594,Gotham Professional Arts Academy,Brooklyn,"(40.680463, -73.922264)",,,,,,,
223,12X521,The Metropolitan Soundview High School,Bronx,"(40.831601, -73.878912)",,,,,,,
224,12X550,High School of World Cultures,Bronx,"(40.831601, -73.878912)",,,,,,,
225,14K614,Young Women's Leadership School of Brooklyn,Brooklyn,"(40.705204, -73.939407)",,,,,,,
226,12X682,Fannie Lou Hamer Freedom High School,Bronx,"(40.83087, -73.88626)",,,,,,,
227,12X684,Wings Academy,Bronx,"(40.841794, -73.875366)",,,,,,,
228,12X692,Monroe Academy for Visual Arts & Design,Bronx,"(40.831601, -73.878912)",,,,,,,
229,13K265,Dr. Susan S. McKinney Secondary School of the Arts,Brooklyn,"(40.696324, -73.97578)",,,,,,,
230,13K350,Urban Assembly High School of Music and Art,Brooklyn,"(40.697339, -73.985016)",,,,,,,
231,13K412,"Brooklyn Community High School of Communication, Arts and Media",Brooklyn,"(40.692642, -73.958794)",,,,,,,
232,13K419,"Science Skills Center High School for Science, Technology and the Creative Arts",Brooklyn,"(40.697339, -73.985016)",,,,,,,
233,13K430,Brooklyn Technical High School,Brooklyn,"(40.688834, -73.976905)",,,,,,,
234,13K439,Brooklyn International High School,Brooklyn,"(40.697339, -73.985016)",,,,,,,
235,13K483,The Urban Assembly School for Law and Justice,Brooklyn,"(40.694682, -73.988853)",,,,,,,
236,13K499,ACORN Community High School,Brooklyn,"(40.678488, -73.962105)",,,,,,,
237,13K527,Urban Assembly Institute of Math and Science for Young Women,Brooklyn,"(40.694682, -73.988853)",,,,,,,
238,13K595,Bedford Academy High School,Brooklyn,"(40.68538, -73.954302)",,,,,,,
239,13K605,George Westinghouse Career and Technical Education High School,Brooklyn,"(40.694926, -73.986015)",,,,,,,
240,13K670,Benjamin Banneker Academy,Brooklyn,"(40.695332, -73.969243)",,,,,,,
241,13K674,"City Polytechnic High School of Engineering, Architecture, and Technology",Brooklyn,"(40.694926, -73.986015)",,,,,,,
242,14K071,Juan Morel Campos Secondary School,Brooklyn,"(40.703624, -73.953146)",,,,,,,
243,14K322,Foundations Academy,Brooklyn,"(40.697152, -73.946641)",,,,,,,
244,14K449,"Brooklyn Latin School, The",Brooklyn,"(40.709941, -73.943641)",,,,,,,
245,14K454,Green School: An Academy for Environmental Careers,Brooklyn,"(40.709941, -73.943641)",,,,,,,
246,14K474,PROGRESS High School for Professional Careers,Brooklyn,"(40.712184, -73.939722)",,,,,,,
247,14K477,School for Legal Studies,Brooklyn,"(40.712184, -73.939722)",,,,,,,
248,14K478,"The High School for Enterprise, Business and Technology",Brooklyn,"(40.712184, -73.939722)",,,,,,,
249,14K488,Brooklyn Preparatory High School,Brooklyn,"(40.715073, -73.954754)",,,,,,,
250,14K558,Williamsburg High School for Architecture and Design,Brooklyn,"(40.715073, -73.954754)",,,,,,,
251,14K561,Williamsburg Preparatory School,Brooklyn,"(40.715073, -73.954754)",,,,,,,
252,14K586,Lyons Community School,Brooklyn,"(40.709941, -73.943641)",,,,,,,
253,14K610,Automotive High School,Brooklyn,"(40.721981, -73.953281)",,,,,,,
254,14K632,Frances Perkins Academy,Brooklyn,"(40.721981, -73.953281)",,,,,,,
255,14K685,El Puente Academy for Peace and Justice,Brooklyn,"(40.705898, -73.955611)",,,,,,,
256,15K423,Brooklyn Frontiers High School,Brooklyn,"(40.690145, -73.989132)",,,,,,,
257,15K429,Brooklyn School for Global Studies,Brooklyn,"(40.685419, -73.993351)",,,,,,,
258,15K448,Brooklyn Secondary School for Collaborative Studies,Brooklyn,"(40.68007, -74.001377)",,,,,,,
259,15K462,Secondary School for Law,Brooklyn,"(40.669629, -73.979287)",,,,,,,
260,15K463,Secondary School for Journalism,Brooklyn,"(40.669629, -73.979287)",146.0,17.0,2.0,1.0,7.0,0.0,1.0
261,15K464,Park Slope Collegiate,Brooklyn,"(40.669629, -73.979287)",,,,,,,
262,15K497,School for International Studies,Brooklyn,"(40.685419, -73.993351)",,,,,,,
263,15K519,Cobble Hill School of American Studies,Brooklyn,"(40.684524, -73.990993)",,,,,,,
264,15K592,Khalil Gibran International Academy,Brooklyn,"(40.686499, -73.979649)",,,,,,,
265,15K656,Brooklyn High School of the Arts,Brooklyn,"(40.683559, -73.98027)",,,,,,,
266,15K667,Sunset Park High School,Brooklyn,"(40.65571, -74.005197)",,,,,,,
267,15K684,Millennium Brooklyn HS,Brooklyn,"(40.669629, -73.979287)",,,,,,,
268,16K393,Frederick Douglass Academy IV Secondary School,Brooklyn,"(40.692126, -73.931731)",,,,,,,
269,16K455,Boys and Girls High School,Brooklyn,"(40.67944, -73.932407)",,,,,,,
270,16K498,Brooklyn High School for Law and Technology,Brooklyn,"(40.688831, -73.920906)",,,,,,,
271,16K688,The Brooklyn Academy of Global Finance,Brooklyn,"(40.691274, -73.933697)",,,,,,,
272,16K765,Nelson Mandela High School,Brooklyn,"(40.67944, -73.932407)",,,,,,,
273,17K122,Pathways in Technology Early College High School (P-Tech),Brooklyn,"(40.675612, -73.938843)",,,,,,,
274,17K382,Academy for College Preparation and Career Exploration: A College Board School,Brooklyn,"(40.649787, -73.95855)",,,,,,,
275,17K408,Academy of Hospitality and Tourism,Brooklyn,"(40.649787, -73.95855)",,,,,,,
276,17K524,International High School at Prospect Heights,Brooklyn,"(40.670349, -73.961695)",,,,,,,
277,17K528,The High School for Global Citizenship,Brooklyn,"(40.670349, -73.961695)",,,,,,,
278,17K531,"School for Human Rights, The",Brooklyn,"(40.658893, -73.942458)",,,,,,,
279,17K533,School for Democracy and Leadership,Brooklyn,"(40.658893, -73.942458)",,,,,,,
280,17K537,High School for Youth and Community Development at Erasmus,Brooklyn,"(40.649787, -73.95855)",,,,,,,
281,17K539,High School for Service & Learning at Erasmus,Brooklyn,"(40.649787, -73.95855)",,,,,,,
282,17K543,"Science, Technology and Research Early College High School at Erasmus",Brooklyn,"(40.649787, -73.95855)",,,,,,,
283,17K546,High School for Public Service: Heroes of Tomorrow,Brooklyn,"(40.658893, -73.942458)",,,,,,,
284,17K547,Brooklyn Academy of Science and the Environment,Brooklyn,"(40.670349, -73.961695)",,,,,,,
285,17K548,Brooklyn School for Music & Theatre,Brooklyn,"(40.670349, -73.961695)",,,,,,,
286,17K590,Medgar Evers College Preparatory School,Brooklyn,"(40.667195, -73.951167)",,,,,,,
287,17K600,Clara Barton High School,Brooklyn,"(40.669567, -73.961962)",13.0,13.0,0.0,39.0,9.0,7.0,1.0
288,17K745,Brooklyn Institute for Liberal Arts,Brooklyn,"(40.658893, -73.942458)",,,,,,,
289,17K751,Academy for Health Careers,Brooklyn,"(40.675612, -73.938843)",,,,,,,
290,18K563,It Takes a Village Academy,Brooklyn,"(40.648657, -73.922171)",,,,,,,
291,18K566,Brooklyn Generation School,Brooklyn,"(40.633285, -73.916735)",,,,,,,
292,18K567,Brooklyn Theatre Arts High School,Brooklyn,"(40.633285, -73.916735)",,,,,,,
293,18K569,Kurt Hahn Expeditionary Learning School,Brooklyn,"(40.648657, -73.922171)",,,,,,,
294,18K576,Victory Collegiate High School,Brooklyn,"(40.633285, -73.916735)",,,,,,,
295,18K589,Arts & Media Preparatory Academy,Brooklyn,"(40.65843, -73.929076)",,,,,,,
296,18K617,High School for Innovation in Advertising and Media,Brooklyn,"(40.641474, -73.898254)",,,,,,,
297,18K629,Cultural Academy for the Arts and Sciences,Brooklyn,"(40.648657, -73.922171)",,,,,,,
298,18K633,High School for Medical Professions,Brooklyn,"(40.641474, -73.898254)",,,,,,,
299,18K637,Academy for Conservation and the Environment,Brooklyn,"(40.633285, -73.916735)",,,,,,,
300,18K642,Urban Action Academy,Brooklyn,"(40.641474, -73.898254)",,,,,,,
301,19K404,Academy for Young Writers,Brooklyn,"(40.657459, -73.874756)",,,,,,,
302,19K409,East New York Family Academy,Brooklyn,"(40.661072, -73.886942)",,,,,,,
303,19K502,FDNY High School for Fire and Life Safety,Brooklyn,"(40.667456, -73.894747)",,,,,,,
304,19K504,High School for Civil Rights,Brooklyn,"(40.667456, -73.894747)",,,,,,,
305,19K507,Performing Arts and Technology High School,Brooklyn,"(40.667456, -73.894747)",,,,,,,
306,19K510,World Academy for Total Community Health High School,Brooklyn,"(40.667456, -73.894747)",,,,,,,
307,19K583,Multicultural High School,Brooklyn,"(40.691146, -73.868328)",40.0,6.0,0.0,1.0,7.0,6.0,0.0
308,19K615,Transit Tech Career and Technical Education High School,Brooklyn,"(40.678276, -73.87596)",,,,,,,
309,19K618,Academy of Innovative Technology,Brooklyn,"(40.691146, -73.868328)",,,,,,,
310,19K639,Brooklyn Lab School,Brooklyn,"(40.691146, -73.868328)",,,,,,,
311,19K659,Cypress Hills Collegiate Preparatory School,Brooklyn,"(40.691146, -73.868328)",,,,,,,
312,19K660,W. H. Maxwell Career and Technical Education High School,Brooklyn,"(40.674135, -73.89643)",,,,,,,
313,19K683,"The School for Classics: An Academy of Thinkers, Writers and Performers",Brooklyn,"(40.670724, -73.874208)",,,,,,,
314,19K764,The Urban Assembly School for Collaborative Healthcare,Brooklyn,"(40.691146, -73.868328)",,,,,,,
315,20K445,New Utrecht High School,Brooklyn,"(40.613262, -74.003404)",,,,,,,
316,20K485,High School of Telecommunication Arts and Technology,Brooklyn,"(40.637282, -74.023849)",,,,,,,
317,20K490,Fort Hamilton High School,Brooklyn,"(40.627835, -74.040046)",,,,,,,
318,20K505,Franklin Delano Roosevelt High School,Brooklyn,"(40.620446, -73.981795)",,,,,,,
319,20K609,Urban Assembly School for Criminal Justice,Brooklyn,"(40.634875, -73.981528)",,,,,,,
320,21K337,International High School at Lafayette,Brooklyn,"(40.594291, -73.98577)",,,,,,,
321,21K344,Rachel Carson High School for Coastal Studies,Brooklyn,"(40.582533, -73.973132)",,,,,,,
322,21K348,High School of Sports Management,Brooklyn,"(40.594291, -73.98577)",,,,,,,
323,21K410,Abraham Lincoln High School,Brooklyn,"(40.581681, -73.967308)",,,,,,,
324,21K468,Kingsborough Early College School,Brooklyn,"(40.594291, -73.98577)",,,,,,,
325,21K525,Edward R. Murrow High School,Brooklyn,"(40.620525, -73.959285)",,,,,,,
326,21K540,John Dewey High School,Brooklyn,"(40.589268, -73.981738)",,,,,,,
327,21K559,Life Academy High School for Film and Music,Brooklyn,"(40.594291, -73.98577)",,,,,,,
328,21K572,Expeditionary Learning School for Community Leaders,Brooklyn,"(40.594291, -73.98577)",,,,,,,
329,21K620,William E. Grady Career and Technical Education High School,Brooklyn,"(40.582585, -73.963477)",,,,,,,
330,21K690,Brooklyn Studio Secondary School,Brooklyn,"(40.604879, -73.994404)",,,,,,,
331,22K405,Midwood High School,Brooklyn,"(40.633237, -73.952929)",,,,,,,
332,22K425,James Madison High School,Brooklyn,"(40.609912, -73.948512)",,,,,,,
333,22K535,Leon M. Goldstein High School for the Sciences,Brooklyn,"(40.580894, -73.935952)",,,,,,,
334,22K555,Brooklyn College Academy,Brooklyn,"(40.649404, -73.971736)",,,,,,,
335,22K611,Origins High School,Brooklyn,"(40.594124, -73.937696)",,,,,,,
336,23K493,Brooklyn Collegiate: A College Board School,Brooklyn,"(40.674103, -73.913273)",,,,,,,
337,23K514,Frederick Douglass Academy VII High School,Brooklyn,"(40.665878, -73.911705)",,,,,,,
338,23K644,Eagle Academy for Young Men II,Brooklyn,"(40.677805, -73.915843)",,,,,,,
339,23K697,Teachers Preparatory High School,Brooklyn,"(40.665878, -73.911705)",,,,,,,
340,24Q236,International High School for Health Sciences,Queens,"(40.741122, -73.874721)",,,,,,,
341,24Q264,Academy of Finance and Enterprise,Queens,"(40.745095, -73.936635)",,,,,,,
342,24Q267,High School of Applied Communication,Queens,"(40.745095, -73.936635)",,,,,,,
343,24Q293,Civic Leadership Academy,Queens,"(40.74373, -73.870642)",,,,,,,
344,24Q296,Pan American International High School,Queens,"(40.74373, -73.870642)",,,,,,,
345,24Q299,Bard High School Early College Queens,Queens,"(40.745095, -73.936635)",,,,,,,
346,24Q455,Newtown High School,Queens,"(40.741122, -73.874721)",,,,,,,
347,24Q485,Grover Cleveland High School,Queens,"(40.711033, -73.908814)",,,,,,,
348,24Q520,Middle College High School at LaGuardia Community College,Queens,"(40.744412, -73.93364)",,,,,,,
349,24Q530,International High School at LaGuardia Community College,Queens,"(40.744412, -73.93364)",,,,,,,
350,24Q550,High School for Arts and Business,Queens,"(40.737427, -73.853178)",,,,,,,
351,24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",Queens,"(40.742839, -73.936782)",,,,,,,
352,24Q585,Maspeth High School,Queens,"(40.729939, -73.887482)",,,,,,,
353,24Q600,Queens Vocational and Technical High School,Queens,"(40.742205, -73.928219)",,,,,,,
354,24Q610,Aviation Career & Technical Education High School,Queens,"(40.743509, -73.929076)",,,,,,,
355,25Q240,Veritas Academy,Queens,"(40.765166, -73.82789)",,,,,,,
356,25Q241,Queens High School for Language Studies,Queens,"(40.765166, -73.82789)",,,,,,,
357,25Q252,"Queens School of Inquiry, The",Queens,"(40.724458, -73.810216)",,,,,,,
358,25Q263,Flushing International High School,Queens,"(40.759844, -73.820548)",,,,,,,
359,25Q281,East-West School of International Studies,Queens,"(40.749545, -73.822073)",,,,,,,
360,25Q285,World Journalism Preparatory: A College Board School,Queens,"(40.765133, -73.790083)",,,,,,,
361,25Q425,John Bowne High School,Queens,"(40.738139, -73.824944)",,,,,,,
362,25Q460,Flushing High School,Queens,"(40.765166, -73.82789)",,,,,,,
363,25Q525,Townsend Harris High School,Queens,"(40.73439, -73.821392)",,,,,,,
364,25Q670,Robert F. Kennedy Community High School,Queens,"(40.725603, -73.810697)",,,,,,,
365,26Q315,Business Technology Early College High School,Queens,"(40.733066, -73.738756)",,,,,,,
366,26Q415,Benjamin N. Cardozo High School,Queens,"(40.752333, -73.75599)",,,,,,,
367,26Q430,Francis Lewis High School,Queens,"(40.740724, -73.79283)",,,,,,,
368,26Q435,Martin Van Buren High School,Queens,"(40.733066, -73.738756)",,,,,,,
369,26Q495,Bayside High School,Queens,"(40.771755, -73.780296)",,,,,,,
370,26Q566,"Queens High School of Teaching, Liberal Arts and the Sciences",Queens,"(40.746088, -73.727535)",,,,,,,
371,27Q260,Frederick Douglass Academy VI High School,Queens,"(40.60201, -73.762795)",,,,,,,
372,27Q262,Channel View School for Research,Queens,"(40.586066, -73.822624)",,,,,,,
373,27Q302,"Queens High School for Information, Research, and Technology",Queens,"(40.60201, -73.762795)",,,,,,,
374,27Q308,Robert H. Goddard High School of Communication Arts and Technology,Queens,"(40.67124, -73.845141)",,,,,,,
375,27Q309,Academy of Medical Technology: A College Board School,Queens,"(40.60201, -73.762795)",,,,,,,
376,27Q314,Epic High School - South,Queens,"(40.675771, -73.816938)",,,,,,,
377,27Q323,Scholars' Academy,Queens,"(40.584109, -73.825711)",70.0,3.0,1.0,1.0,5.0,2.0,2.0
378,27Q324,Rockaway Park High School for Environmental Sustainability,Queens,"(40.586066, -73.822624)",,,,,,,
379,27Q334,Epic High School - North,Queens,"(40.693006, -73.829407)",,,,,,,
380,27Q351,Rockaway Collegiate High School,Queens,"(40.586066, -73.822624)",,,,,,,
381,27Q400,August Martin High School,Queens,"(40.675633, -73.783342)",,,,,,,
382,27Q475,Richmond Hill High School,Queens,"(40.695888, -73.833681)",,,,,,,
383,27Q480,John Adams High School,Queens,"(40.679639, -73.837298)",,,,,,,
384,27Q650,"High School for Construction Trades, Engineering and Architecture",Queens,"(40.689591, -73.840717)",,,,,,,
385,28Q167,Metropolitan Expeditionary Learning School,Queens,"(40.711367, -73.856698)",,,,,,,
386,28Q284,York Early College Academy,Queens,"(40.69719, -73.787192)",,,,,,,
387,28Q310,Queens Collegiate: A College Board School,Queens,"(40.713218, -73.797237)",,,,,,,
388,28Q325,Hillside Arts & Letters Academy,Queens,"(40.713218, -73.797237)",,,,,,,
389,28Q328,High School for Community Leadership,Queens,"(40.713218, -73.797237)",,,,,,,
390,28Q350,Jamaica Gateway to the Sciences,Queens,"(40.713218, -73.797237)",,,,,,,
391,28Q440,Forest Hills High School,Queens,"(40.729402, -73.845637)",,,,,,,
392,28Q505,Hillcrest High School,Queens,"(40.709446, -73.80166)",,,,,,,
393,28Q620,Thomas A. Edison Career and Technical Education High School,Queens,"(40.715389, -73.800369)",,,,,,,
394,28Q680,Queens Gateway to Health Sciences Secondary School,Queens,"(40.718831, -73.806499)",,,,,,,
395,28Q686,QUEENS METROPOLITAN HIGH SCHOOL,Queens,"(40.711367, -73.856698)",,,,,,,
396,28Q687,Queens High School for the Sciences at York College,Queens,"(40.701049, -73.798151)",,,,,,,
397,28Q690,High School for Law Enforcement and Public Safety,Queens,"(40.686208, -73.784144)",,,,,,,
398,28Q896,"Young Women's Leadership School, Queens",Queens,"(40.707527, -73.806412)",,,,,,,
399,29Q243,Institute for Health Professions at Cambria Heights,Queens,"(40.697819, -73.745728)",,,,,,,
400,29Q248,Queens Preparatory Academy,Queens,"(40.668235, -73.756839)",,,,,,,
401,29Q259,Pathways College Preparatory School: A College Board School,Queens,"(40.70646, -73.753579)",,,,,,,
402,29Q265,Excelsior Preparatory High School,Queens,"(40.668235, -73.756839)",,,,,,,
403,29Q272,George Washington Carver High School for the Sciences,Queens,"(40.668235, -73.756839)",,,,,,,
404,29Q283,Preparatory Academy for Writers: A College Board School,Queens,"(40.668235, -73.756839)",,,,,,,
405,29Q313,Benjamin Franklin High School for Finance & Information Technology,Queens,"(40.697819, -73.745728)",,,,,,,
406,29Q326,Cambria Heights Academy,Queens,"(40.711849, -73.771195)",,,,,,,
407,29Q327,Eagle Academy for Young Men III,Queens,"(40.691712, -73.778923)",,,,,,,
408,29Q492,"Mathematics, Science Research and Technology Magnet High School",Queens,"(40.697819, -73.745728)",,,,,,,
409,29Q498,Humanities & Arts Magnet High School,Queens,"(40.697819, -73.745728)",,,,,,,
410,30Q258,Energy Tech High School,Queens,"(40.757065, -73.932664)",,,,,,,
411,30Q286,"Young Women's Leadership School, Astoria",Queens,"(40.771215, -73.924591)",,,,,,,
412,30Q301,Academy for Careers in Television and Film,Queens,"(40.742956, -73.959196)",,,,,,,
413,30Q445,William Cullen Bryant High School,Queens,"(40.75823, -73.910514)",,,,,,,
414,30Q450,Long Island City High School,Queens,"(40.765826, -73.9328)",,,,,,,
415,30Q501,Frank Sinatra School of the Arts High School,Queens,"(40.756534, -73.925121)",,,,,,,
416,30Q502,Information Technology High School,Queens,"(40.748701, -73.94638)",,,,,,,
417,30Q555,Newcomers High School,Queens,"(40.751356, -73.937445)",,,,,,,
418,30Q575,Academy of American Studies,Queens,"(40.751331, -73.937434)",,,,,,,
419,30Q580,Baccalaureate School for Global Education,Queens,"(40.755366, -73.927169)",,,,,,,
420,31R047,CSI High School for International Studies,Staten Island,"(40.581315, -74.158589)",,,,,,,
421,31R064,Gaynor McCown Expeditionary Learning School,Staten Island,"(40.581315, -74.158589)",,,,,,,
422,31R080,The Michael J. Petrides School,Staten Island,"(40.608517, -74.102078)",,,,,,,
423,31R440,New Dorp High School,Staten Island,"(40.569393, -74.107737)",,,,,,,
424,31R445,Port Richmond High School,Staten Island,"(40.634573, -74.141818)",,,,,,,
425,31R450,Curtis High School,Staten Island,"(40.644735, -74.081222)",,,,,,,
426,31R455,Tottenville High School,Staten Island,"(40.528092, -74.192032)",,,,,,,
427,31R460,Susan E. Wagner High School,Staten Island,"(40.596803, -74.124227)",,,,,,,
428,31R600,Ralph R. McKee Career and Technical Education High School,Staten Island,"(40.642793, -74.07873)",,,,,,,
429,31R605,Staten Island Technical High School,Staten Island,"(40.567873, -74.115373)",,,,,,,
430,32K168,The Brooklyn School for Math and Research,Brooklyn,"(40.69697, -73.910791)",,,,,,,
431,32K403,Academy for Environmental Leadership,Brooklyn,"(40.69697, -73.910791)",,,,,,,
432,32K545,EBC High School for Public Service - Bushwick,Brooklyn,"(40.694507, -73.929107)",,,,,,,
433,32K549,Bushwick School for Social Justice,Brooklyn,"(40.69697, -73.910791)",,,,,,,
434,32K552,Academy of Urban Planning,Brooklyn,"(40.69697, -73.910791)",,,,,,,
435,32K554,All City Leadership Secondary School,Brooklyn,"(40.69737, -73.913171)",,,,,,,
436,32K556,Bushwick Leaders High School for Academic Excellence,Brooklyn,"(40.695056, -73.92814)",,,,,,,
