;dbn;school_name;borough;latitude;longitude;location;avg_perc Grads;latitude_rad;longitude_rad;trees;crashes;pc;shootings;arrests;programs;bins
0;01M292;Henry Street School for International Studies;Manhattan;40.713684;-73.986336;(40.713684, -73.986336);60.27608695652174;0.710587836416535;-1.2913051646868112;709;3256;5;43;22661;17;1
1;01M448;University Neighborhood High School;Manhattan;40.712399;-73.984497;(40.712399, -73.984497);76.075;0.7105654089356469;-1.2912730680818674;582;2041;5;39;16873;12;0
2;01M450;East Side Community School;Manhattan;40.729589;-73.982555;(40.729589, -73.982555);79.26730769230768;0.7108654310340646;-1.2912391737877935;1194;4226;4;15;12535;2;3
3;01M509;Marta Valle High School;Manhattan;40.720581;-73.985645;(40.720581, -73.985645);58.33269230769231;0.7107082117750452;-1.2912931044616802;1151;7561;3;47;26241;13;2
4;01M539;New Explorations into Science, Technology and Math High School;Manhattan;40.718895;-73.979308;(40.718895, -73.979308);97.88653846153846;0.7106787855238565;-1.2911825029469812;664;3311;5;75;19616;4;9
5;01M696;Bard High School Early College;Manhattan;40.719029;-73.975891;(40.719029, -73.975891);97.42884615384615;0.7106811242650541;-1.2911228650464406;317;2171;3;48;14442;0;10
6;02M047;47 The American Sign Language and English Secondary School;Manhattan;40.738548;-73.982455;(40.738548, -73.982455);62.79807692307692;0.7110217950817509;-1.2912374284585415;1287;7603;2;16;28204;0;1
7;02M135;The Urban Assembly School for Emergency Management;Manhattan;40.711442;-74.000851;(40.711442, -74.000851);70.85;0.7105487061347053;-1.2915584992277382;472;4416;3;28;22267;3;20
8;02M139;Stephen T. Mather Building Arts & Craftsmanship High School;Manhattan;40.76337;-73.990593;(40.76337, -73.990593);82.7;0.7114550207086809;-1.2913794633530689;1243;6910;1;11;23929;0;1
9;02M260;M.S. 260 Clinton School Writers & Artists;Manhattan;40.753091;-73.99764;(40.753091, -73.99764);;0.7112756183148684;-1.291502456705457;493;9106;0;20;39263;0;1
10;02M280;Manhattan Early College School for Advertising;Manhattan;40.711442;-74.000851;(40.711442, -74.000851);;0.7105487061347053;-1.2915584992277382;472;4416;3;28;22267;3;20
11;02M282;Urban Assembly Maker Academy;Manhattan;40.711442;-74.000851;(40.711442, -74.000851);;0.7105487061347053;-1.2915584992277382;472;4416;3;28;22267;3;20
12;02M288;Food and Finance High School;Manhattan;40.765184;-73.992953;(40.765184, -73.992953);80.99130434782609;0.7114866809813121;-1.2914206531234158;1047;5436;2;10;6966;0;0
13;02M294;Essex Street Academy;Manhattan;40.716778;-73.989337;(40.716778, -73.989337);75.03260869565217;0.7106418369035917;-1.2913575420176637;1005;8113;1;20;34895;10;2
14;02M296;High School of Hospitality Management;Manhattan;40.765184;-73.992953;(40.765184, -73.992953);79.16976744186047;0.7114866809813121;-1.2914206531234158;1047;5436;2;10;6966;0;0
15;02M298;Pace High School;Manhattan;40.716553;-73.993092;(40.716553, -73.993092);90.66511627906976;0.7106379099127748;-1.2914230791310761;798;10366;3;20;34278;8;2
16;02M300;Urban Assembly School of Design and Construction, The;Manhattan;40.765184;-73.992953;(40.765184, -73.992953);66.56739130434782;0.7114866809813121;-1.2914206531234158;1047;5436;2;10;6966;0;0
17;02M303;Facing History School, The;Manhattan;40.765184;-73.992953;(40.765184, -73.992953);65.0625;0.7114866809813121;-1.2914206531234158;1047;5436;2;10;6966;0;0
18;02M305;Urban Assembly Academy of Government and Law, The;Manhattan;40.716778;-73.989337;(40.716778, -73.989337);80.75750000000001;0.7106418369035917;-1.2913575420176637;1005;8113;1;20;34895;10;2
19;02M308;Lower Manhattan Arts Academy;Manhattan;40.716778;-73.989337;(40.716778, -73.989337);76.7475;0.7106418369035917;-1.2913575420176637;1005;8113;1;20;34895;10;2
20;02M316;Urban Assembly School of Business for Young Women, the;Manhattan;40.70568;-74.013302;(40.70568, -74.013302);77.80499999999999;0.7104481402632055;-1.291775810172904;530;4675;0;5;8815;0;7
21;02M374;Gramercy Arts High School;Manhattan;40.735494;-73.987659;(40.735494, -73.987659);79.8075;0.7109684927263951;-1.2913282553928151;1058;6692;0;24;44386;1;7
22;02M376;NYC iSchool;Manhattan;40.7244;-74.004625;(40.7244, -74.004625);97.48076923076923;0.7107748658991788;-1.2916243679537087;984;7909;0;7;24559;5;1
23;02M392;MANHATTAN BUSINESS ACADEMY;Manhattan;40.742867;-74.002136;(40.742867, -74.002136);86.5952380952381;0.7110971758521445;-1.2915809267086265;1064;5631;0;20;29042;0;4
24;02M393;BUSINESS OF SPORTS SCHOOL;Manhattan;40.76337;-73.990593;(40.76337, -73.990593);75.32857142857142;0.7114550207086809;-1.2913794633530689;1243;6910;1;11;23929;0;1
25;02M399;THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY;Manhattan;40.735494;-73.987659;(40.735494, -73.987659);73.43333333333332;0.7109684927263951;-1.2913282553928151;1058;6692;0;24;44386;1;7
26;02M400;High School for Environmental Studies;Manhattan;40.767791;-73.987531;(40.767791, -73.987531);83.50576923076923;0.7115321817149116;-1.2913260213713729;1138;6591;3;8;25690;0;0
27;02M407;Institute for Collaborative Education;Manhattan;40.732447;-73.983031;(40.732447, -73.983031);87.82499999999999;0.7109153125440867;-1.291247481555033;1160;5225;1;16;11859;2;0
28;02M408;Professional Performing Arts High School;Manhattan;40.761448;-73.988019;(40.761448, -73.988019);93.86923076923077;0.7114214754804576;-1.2913345385781223;884;10518;2;13;60013;0;1
29;02M411;Baruch College Campus High School;Manhattan;40.74193;-73.986521;(40.74193, -73.986521);99.4076923076923;0.7110808221170534;-1.2913083935459275;733;7076;0;22;16214;0;0
30;02M412;N.Y.C. Lab School for Collaborative Studies;Manhattan;40.742129;-74.002198;(40.742129, -74.002198);97.275;0.7110842953222648;-1.2915820088127627;1102;5899;0;21;30297;0;3
31;02M413;School of the Future High School;Manhattan;40.738952;-73.985479;(40.738952, -73.985479);90.6846153846154;0.711028846211929;-1.2912902072151218;1103;7588;2;24;28849;1;3
32;02M414;N.Y.C. Museum School;Manhattan;40.742129;-74.002198;(40.742129, -74.002198);96.5653846153846;0.7110842953222648;-1.2915820088127627;1102;5899;0;21;30297;0;3
33;02M416;Eleanor Roosevelt High School;Manhattan;40.770187;-73.953608;(40.770187, -73.953608);99.54081632653062;0.7115739998037894;-1.2907339533292188;1400;6355;3;0;3719;0;1
34;02M418;Millennium High School;Manhattan;40.704487;-74.011556;(40.704487, -74.011556);98.4857142857143;0.7104273184852291;-1.2917453367241643;385;4189;0;5;8020;0;8
35;02M419;Landmark High School;Manhattan;40.742867;-74.002136;(40.742867, -74.002136);61.736538461538466;0.7110971758521445;-1.2915809267086265;1064;5631;0;20;29042;0;4
36;02M420;High School for Health Professions and Human Services;Manhattan;40.732447;-73.983031;(40.732447, -73.983031);87.9076923076923;0.7109153125440867;-1.291247481555033;1160;5225;1;16;11859;2;0
37;02M422;Quest to Learn;Manhattan;40.742867;-74.002136;(40.742867, -74.002136);79.81666666666666;0.7110971758521445;-1.2915809267086265;1064;5631;0;20;29042;0;4
38;02M425;Leadership and Public Service High School;Manhattan;40.70873;-74.012332;(40.70873, -74.012332);68.66153846153847;0.7105013728053913;-1.2917588804791598;523;4905;0;6;15535;3;3
39;02M427;MANHATTAN ACADEMY FOR ARTS & LANGUAGE;Manhattan;40.746176;-73.981241;(40.746176, -73.981241);57.45;0.711154928797093;-1.2912162401614222;1117;10821;2;4;15373;0;0
40;02M432;Murray Hill Academy;Manhattan;40.746176;-73.981241;(40.746176, -73.981241);64.03809523809524;0.711154928797093;-1.2912162401614222;1117;10821;2;4;15373;0;0
41;02M437;Hudson High School of Learning Technologies;Manhattan;40.742867;-74.002136;(40.742867, -74.002136);82.5;0.7110971758521445;-1.2915809267086265;1064;5631;0;20;29042;0;4
42;02M438;International High School at Union Square;Manhattan;40.735494;-73.987659;(40.735494, -73.987659);59.4125;0.7109684927263951;-1.2913282553928151;1058;6692;0;24;44386;1;7
43;02M439;Manhattan Village Academy;Manhattan;40.741497;-73.991512;(40.741497, -73.991512);96.2173076923077;0.7110732648413922;-1.2913955029288946;537;7502;3;28;16503;0;0
44;02M449;Vanguard High School;Manhattan;40.765359;-73.960059;(40.765359, -73.960059);72.72115384615384;0.711489735307503;-1.2908465445192647;1494;8157;1;3;13020;0;1
45;02M459;Manhattan International High School;Manhattan;40.765359;-73.960059;(40.765359, -73.960059);73.94615384615385;0.711489735307503;-1.2908465445192647;1494;8157;1;3;13020;0;1
46;02M475;Stuyvesant High School;Manhattan;40.71759;-74.013748;(40.71759, -74.013748);98.67307692307692;0.710656008977118;-1.2917835943413682;827;2760;1;0;1964;1;8
47;02M489;High School of Economics and Finance;Manhattan;40.709196;-74.012022;(40.709196, -74.012022);82.27307692307691;0.7105095060397055;-1.2917534699584787;466;4883;0;6;15671;3;3
48;02M500;Unity Center for Urban Technologies;Manhattan;40.746176;-73.981241;(40.746176, -73.981241);68.13846153846154;0.711154928797093;-1.2912162401614222;1117;10821;2;4;15373;0;0
49;02M507;Urban Assembly Gateway School for Technology;Manhattan;40.76337;-73.990593;(40.76337, -73.990593);89.48181818181818;0.7114550207086809;-1.2913794633530689;1243;6910;1;11;23929;0;1
50;02M519;Talent Unlimited High School;Manhattan;40.765359;-73.960059;(40.765359, -73.960059);95.00192307692308;0.711489735307503;-1.2908465445192647;1494;8157;1;3;13020;0;1
51;02M520;Murry Bergtraum High School for Business Careers;Manhattan;40.711442;-74.000851;(40.711442, -74.000851);62.69423076923077;0.7105487061347053;-1.2915584992277382;472;4416;3;28;22267;3;20
52;02M529;Jacqueline Kennedy Onassis High School;Manhattan;40.757729;-73.983078;(40.757729, -73.983078);69.7;0.7113565666855759;-1.2912483018597816;325;11439;1;9;43733;1;3
53;02M531;Repertory Company High School for Theatre Arts;Manhattan;40.755843;-73.984382;(40.755843, -73.984382);90.3173076923077;0.7113236497758832;-1.2912710609532274;128;11456;2;10;65083;1;4
54;02M533;Union Square Academy for Health Sciences;Manhattan;40.735494;-73.987659;(40.735494, -73.987659);89.58333333333333;0.7109684927263951;-1.2913282553928151;1058;6692;0;24;44386;1;7
55;02M534;Harvest Collegiate High School;Manhattan;40.736518;-73.994858;(40.736518, -73.994858);90.01666666666667;0.7109863648979353;-1.2914539016456663;892;6419;2;6;29637;0;7
56;02M542;Manhattan Bridges High School;Manhattan;40.765184;-73.992953;(40.765184, -73.992953);82.12391304347825;0.7114866809813121;-1.2914206531234158;1047;5436;2;10;6966;0;0
57;02M543;New Design High School;Manhattan;40.716778;-73.989337;(40.716778, -73.989337);79.49130434782609;0.7106418369035917;-1.2913575420176637;1005;8113;1;20;34895;10;2
58;02M545;High School for Dual Language and Asian Studies;Manhattan;40.716778;-73.989337;(40.716778, -73.989337);95.0304347826087;0.7106418369035917;-1.2913575420176637;1005;8113;1;20;34895;10;2
59;02M546;Academy for Software Engineering;Manhattan;40.735494;-73.987659;(40.735494, -73.987659);92.25;0.7109684927263951;-1.2913282553928151;1058;6692;0;24;44386;1;7
60;02M551;Urban Assembly New York Harbor School;Manhattan;40.701695;-74.011631;(40.701695, -74.011631);79.28478260869565;0.7103785888925135;-1.2917466457211033;185;2176;0;1;4996;0;4
61;02M580;Richard R. Green High School of Teaching;Manhattan;40.70568;-74.013302;(40.70568, -74.013302);65.9673076923077;0.7104481402632055;-1.291775810172904;530;4675;0;5;8815;0;7
62;02M600;The High School of Fashion Industries;Manhattan;40.745156;-73.996074;(40.745156, -73.996074);89.12307692307692;0.7111371264387227;-1.2914751248493705;818;7119;4;16;22786;0;0
63;02M605;Humanities Preparatory Academy;Manhattan;40.742867;-74.002136;(40.742867, -74.002136);76.63461538461539;0.7110971758521445;-1.2915809267086265;1064;5631;0;20;29042;0;4
64;02M615;Chelsea Career and Technical Education High School;Manhattan;40.7244;-74.004625;(40.7244, -74.004625);67.23846153846154;0.7107748658991788;-1.2916243679537087;984;7909;0;7;24559;5;1
65;02M630;Art and Design High School;Manhattan;40.75924;-73.967203;(40.75924, -73.967203);81.56153846153846;0.7113829386105736;-1.2909712308410273;1201;12725;2;2;21385;2;2
66;02M655;Life Sciences Secondary School;Manhattan;40.783625;-73.945637;(40.783625, -73.945637);77.77884615384616;0.7118085371486724;-1.2905948331345423;928;5729;3;30;11224;9;1
67;03M299;High School for Arts, Imagination and Inquiry;Manhattan;40.774351;-73.984753;(40.774351, -73.984753);70.9625;0.7116466753138425;-1.2912775361247522;1241;4049;5;19;8990;0;2
68;03M307;Urban Assembly School for Media Studies, The;Manhattan;40.774351;-73.984753;(40.774351, -73.984753);71.32790697674419;0.7116466753138425;-1.2912775361247522;1241;4049;5;19;8990;0;2
69;03M402;The Urban Assembly School for Green Careers;Manhattan;40.785803;-73.974614;(40.785803, -73.974614);61.08095238095238;0.7118465504197808;-1.2911005771918926;1710;4502;1;17;12872;0;4
70;03M403;The Global Learning Collaborative;Manhattan;40.785803;-73.974614;(40.785803, -73.974614);73.76666666666667;0.7118465504197808;-1.2911005771918926;1710;4502;1;17;12872;0;4
71;03M415;Wadleigh Secondary School for the Performing & Visual Arts;Manhattan;40.802207;-73.954142;(40.802207, -73.954142);65.36730769230769;0.7121328542302781;-1.2907432733874245;1421;3461;1;139;34092;1;3
72;03M417;FRANK McCOURT HIGH SCHOOL;Manhattan;40.785803;-73.974614;(40.785803, -73.974614);95.39375;0.7118465504197808;-1.2911005771918926;1710;4502;1;17;12872;0;4
73;03M479;Beacon High School;Manhattan;40.772007;-73.987479;(40.772007, -73.987479);96.99615384615385;0.7116057647961758;-1.2913251138001616;881;4708;5;19;8085;0;1
74;03M485;Fiorello H. LaGuardia High School of Music & Art and Performing Arts;Manhattan;40.773629;-73.985273;(40.773629, -73.985273);98.01538461538462;0.711634074036643;-1.2912866118368627;1184;4174;5;19;9308;0;2
75;03M492;High School for Law, Advocacy and Community Justice;Manhattan;40.774351;-73.984753;(40.774351, -73.984753);74.77755102040817;0.7116466753138425;-1.2912775361247522;1241;4049;5;19;8990;0;2
76;08X320;Pelham Lab High School;Bronx;40.840702;-73.838545;(40.840702, -73.838545);68.6;0.7128047187258332;-1.2887257251319963;500;2228;1;7;3360;0;2
77;03M494;High School of Arts and Technology;Manhattan;40.774351;-73.984753;(40.774351, -73.984753);69.07959183673469;0.7116466753138425;-1.2912775361247522;1241;4049;5;19;8990;0;2
78;03M541;Manhattan / Hunter Science High School;Manhattan;40.774351;-73.984753;(40.774351, -73.984753);96.20869565217392;0.7116466753138425;-1.2912775361247522;1241;4049;5;19;8990;0;2
79;03M859;Special Music School;Manhattan;40.774919;-73.982745;(40.774919, -73.982745);98.0;0.7116565887839937;-1.291242489913372;1284;4846;4;20;11491;0;3
80;12X479;Bronx Career and College Preparatory High School;Bronx;40.827743;-73.900105;(40.827743, -73.900105);53.15238095238095;0.7125785415080672;-1.289800149819524;1292;2002;3;221;17765;2;0
81;03M860;Frederick Douglass Academy II Secondary School;Manhattan;40.802207;-73.954142;(40.802207, -73.954142);71.61521739130436;0.7121328542302781;-1.2907432733874245;1421;3461;1;139;34092;1;3
82;04M372;ESPERANZA PREPARATORY ACADEMY;Manhattan;40.79307;-73.942303;(40.79307, -73.942303);73.58333333333333;0.7119733834965233;-1.2905366438572805;757;4364;5;161;30986;1;1
83;04M409;Coalition School for Social Change;Manhattan;40.798884;-73.933319;(40.798884, -73.933319);57.013461538461534;0.7120748569392342;-1.2903798434772815;868;5457;2;106;24923;6;1
84;04M435;Manhattan Center for Science and Mathematics;Manhattan;40.793856;-73.934028;(40.793856, -73.934028);90.27884615384616;0.7119871017844439;-1.2903922178616782;652;2870;2;74;13077;4;2
85;04M495;Park East High School;Manhattan;40.790543;-73.944356;(40.790543, -73.944356);81.38653846153846;0.7119292790263253;-1.2905724754668242;887;4762;4;182;42134;0;1
86;04M555;Central Park East High School;Manhattan;40.793763;-73.949381;(40.793763, -73.949381);80.74807692307692;0.7119854786282396;-1.2906601782617368;885;3860;2;135;24329;2;0
87;04M610;Young Women's Leadership School;Manhattan;40.792741;-73.947428;(40.792741, -73.947428);99.25961538461539;0.7119676413632842;-1.2906260919814454;969;4570;4;178;38299;2;0
88;04M680;Heritage School, The;Manhattan;40.791881;-73.946558;(40.791881, -73.946558);64.675;0.711952631531717;-1.290610907616953;940;4660;4;178;39529;2;0
89;05M148;Eagle Academy for Young Men of Harlem;Manhattan;40.817372;-73.947712;(40.817372, -73.947712);;0.7123975334113429;-1.290631048716521;1139;3198;0;152;25076;0;3
90;05M157;The Urban Assembly School for Global Commerce;Manhattan;40.807383;-73.939433;(40.807383, -73.939433);71.1;0.7122231924723612;-1.2904865529077483;1200;5826;3;178;55572;1;3
91;05M304;Mott Hall High School;Manhattan;40.817372;-73.947712;(40.817372, -73.947712);72.67777777777778;0.7123975334113429;-1.290631048716521;1139;3198;0;152;25076;0;3
92;05M362;Columbia Secondary School;Manhattan;40.810431;-73.955809;(40.810431, -73.955809);99.1375;0.712276390107962;-1.290772368026055;1057;4022;3;120;34820;2;1
93;05M367;Academy for Social Action: A College Board School;Manhattan;40.815256;-73.955325;(40.815256, -73.955325);58.74516129032258;0.7123606022443707;-1.2907639206324755;635;3792;4;113;25255;1;0
94;05M369;Urban Assembly School for the Performing Arts;Manhattan;40.815256;-73.955325;(40.815256, -73.955325);77.23888888888888;0.7123606022443707;-1.2907639206324755;635;3792;4;113;25255;1;0
95;05M499;Frederick Douglass Academy;Manhattan;40.824319;-73.93712;(40.824319, -73.93712);84.0923076923077;0.712518781434479;-1.2904461834421497;895;3477;3;92;19532;1;3
96;05M670;Thurgood Marshall Academy for Learning and Social Change;Manhattan;40.815509;-73.944202;(40.815509, -73.944202);84.54807692307692;0.7123650179273783;-1.2905697876597761;1327;4056;6;231;34673;2;2
97;05M692;High School for Mathematics, Science and Engineering at City College;Manhattan;40.82074;-73.949097;(40.82074, -73.949097);92.7061224489796;0.71245631610055;-1.2906552215266611;1403;2950;0;84;19606;1;2
98;06M211;Inwood Early College for Health and Information Technologies;Manhattan;40.866053;-73.924835;(40.866053, -73.924835);;0.7132471771445063;-1.2902317697435424;1062;3802;1;72;22493;6;2
99;06M293;City College Academy of the Arts;Manhattan;40.86079;-73.930672;(40.86079, -73.930672);96.81923076923077;0.7131553204659739;-1.2903336446119813;764;1992;1;55;9060;5;1
100;06M346;Community Health Academy of the Heights;Manhattan;40.833687;-73.942072;(40.833687, -73.942072);72.02307692307691;0.7126822838788057;-1.2905326121467084;1110;3315;4;79;22281;0;1
101;06M348;Washington Heights Expeditionary Learning School;Manhattan;40.848908;-73.930948;(40.848908, -73.930948);79.53461538461539;0.7129479404442519;-1.2903384617207168;987;4999;1;57;32712;5;1
102;06M423;High School for Excellence and Innovation;Manhattan;40.866053;-73.924835;(40.866053, -73.924835);46.17619047619048;0.7132471771445063;-1.2902317697435424;1062;3802;1;72;22493;6;2
103;06M462;The College Academy;Manhattan;40.855954;-73.927051;(40.855954, -73.927051);68.11730769230769;0.7130709163433473;-1.2902704462397667;921;1987;0;58;10006;8;0
104;06M463;High School for Media and Communications;Manhattan;40.855954;-73.927051;(40.855954, -73.927051);65.87884615384615;0.7130709163433473;-1.2902704462397667;921;1987;0;58;10006;8;0
105;06M467;High School for Law and Public Service;Manhattan;40.855954;-73.927051;(40.855954, -73.927051);73.62307692307692;0.7130709163433473;-1.2902704462397667;921;1987;0;58;10006;8;0
106;06M468;High School for Health Careers and Sciences;Manhattan;40.855954;-73.927051;(40.855954, -73.927051);65.61346153846154;0.7130709163433473;-1.2902704462397667;921;1987;0;58;10006;8;0
107;06M540;A. Philip Randolph Campus High School;Manhattan;40.818188;-73.950356;(40.818188, -73.950356);78.61923076923077;0.7124117752980391;-1.2906771952219438;1077;2932;1;104;17148;0;2
108;06M552;Gregorio Luperon High School for Science and Mathematics;Manhattan;;;(nan, nan);73.78461538461539;;;0;0;0;0;0;0;0
109;07X221;South Bronx Preparatory: A College Board School;Bronx;40.813983;-73.920782;(40.813983, -73.920782);89.54883720930232;0.7123383842029928;-1.2901610315489591;870;3815;2;188;43109;9;1
110;07X223;M.S. 223 The Laboratory School of Finance and Technology;Bronx;40.813983;-73.920782;(40.813983, -73.920782);86.65;0.7123383842029928;-1.2901610315489591;870;3815;2;188;43109;9;1
111;07X259;H.E.R.O. High (Health, Education, and Research Occupations High School);Bronx;40.810803;-73.907015;(40.810803, -73.907015);66.55;0.7122828827327794;-1.289920752070837;695;2650;0;63;11804;0;2
112;07X334;International Community High School;Bronx;40.81004;-73.917792;(40.81004, -73.917792);51.30277777777778;0.7122695658705867;-1.2901088462043244;913;2327;3;203;29940;6;2
113;07X427;Community School for Social Justice;Bronx;40.815938;-73.930386;(40.815938, -73.930386);68.15510204081633;0.7123725053898694;-1.2903286529703204;535;4393;1;31;6681;5;0
114;07X473;Mott Haven Village Preparatory High School;Bronx;40.81825;-73.91103;(40.81825, -73.91103);66.29795918367347;0.7124128574021754;-1.2899908270403044;1049;2943;1;157;32174;6;2
115;07X495;University Heights Secondary School;Bronx;40.81825;-73.91103;(40.81825, -73.91103);88.98461538461538;0.7124128574021754;-1.2899908270403044;1049;2943;1;157;32174;6;2
116;07X500;Hostos-Lincoln Academy of Science;Bronx;40.815498;-73.91224;(40.815498, -73.91224);87.10192307692309;0.7123648259411605;-1.2900119455242536;785;3221;3;110;33791;11;4
117;07X520;Foreign Language Academy of Global Studies;Bronx;40.811162;-73.909804;(40.811162, -73.909804);62.1;0.7122891484647941;-1.289969429303675;792;2083;3;88;15167;1;4
118;07X522;Bronx Design and Construction Academy;Bronx;40.818232;-73.919867;(40.818232, -73.919867);57.345454545454544;0.7124125432429101;-1.2901450617863033;701;3986;3;142;38341;8;1
119;07X527;Bronx Leadership Academy II High School;Bronx;40.82231;-73.923829;(40.82231, -73.923829);69.69795918367346;0.7124837177698065;-1.2902142117312672;752;2277;1;129;10791;0;1
120;07X547;New Explorers High School;Bronx;40.82231;-73.923829;(40.82231, -73.923829);59.52040816326531;0.7124837177698065;-1.2902142117312672;752;2277;1;129;10791;0;1
121;07X548;Urban Assembly School for Careers in Sports;Bronx;40.82231;-73.923829;(40.82231, -73.923829);81.40192307692307;0.7124837177698065;-1.2902142117312672;752;2277;1;129;10791;0;1
122;07X551;The Urban Assembly Bronx Academy of Letters;Bronx;40.813641;-73.925313;(40.813641, -73.925313);80.53695652173913;0.7123324151769509;-1.2902401124173668;719;4231;4;197;45065;6;0
123;07X600;Alfred E. Smith Career and Technical Education High School;Bronx;40.818232;-73.919867;(40.818232, -73.919867);57.75384615384615;0.7124125432429101;-1.2901450617863033;701;3986;3;142;38341;8;1
124;07X670;Health Opportunities High School;Bronx;40.815938;-73.930386;(40.815938, -73.930386);68.67884615384615;0.7123725053898694;-1.2903286529703204;535;4393;1;31;6681;5;0
125;08X269;Bronx Studio School for Writers and Artists;Bronx;40.820579;-73.893128;(40.820579, -73.893128);71.04761904761905;0.7124535061204544;-1.2896783781976127;1091;5755;1;155;27068;9;1
126;08X282;Women's Academy of Excellence;Bronx;40.814833;-73.85658;(40.814833, -73.85658);72.78333333333333;0.7123532195016348;-1.2890404952625936;731;633;0;15;2172;5;0
127;08X293;Renaissance High School for Musical Theater & Technology;Bronx;40.840702;-73.838545;(40.840702, -73.838545);73.95;0.7128047187258332;-1.2887257251319963;500;2228;1;7;3360;0;2
128;08X305;Pablo Neruda Academy;Bronx;40.82229;-73.856167;(40.82229, -73.856167);61.141304347826086;0.712483368703956;-1.2890332870527828;845;1557;0;36;5106;7;1
129;08X312;Millennium Art Academy;Bronx;40.82229;-73.856167;(40.82229, -73.856167);70.50652173913043;0.712483368703956;-1.2890332870527828;845;1557;0;36;5106;7;1
130;08X332;Holcombe L. Rucker School of Community Research;Bronx;40.817512;-73.898212;(40.817512, -73.898212);60.61388888888889;0.7123999768722957;-1.2897671107367839;1161;4065;1;149;33000;7;0
131;08X348;Schuylerville Preparatory High School;Bronx;40.840702;-73.838545;(40.840702, -73.838545);64.5;0.7128047187258332;-1.2887257251319963;500;2228;1;7;3360;0;2
132;08X349;Bronx River High School;Bronx;40.840702;-73.838545;(40.840702, -73.838545);70.3;0.7128047187258332;-1.2887257251319963;500;2228;1;7;3360;0;2
133;08X367;Archimedes Academy for Math, Science and Technology Applications;Bronx;40.814833;-73.85658;(40.814833, -73.85658);62.175;0.7123532195016348;-1.2890404952625936;731;633;0;15;2172;5;0
134;08X376;Antonia Pantoja Preparatory Academy: A College Board School;Bronx;40.82229;-73.856167;(40.82229, -73.856167);65.26875;0.712483368703956;-1.2890332870527828;845;1557;0;36;5106;7;1
135;08X405;Herbert H. Lehman High School;Bronx;40.840702;-73.838545;(40.840702, -73.838545);56.20576923076923;0.7128047187258332;-1.2887257251319963;500;2228;1;7;3360;0;2
136;08X432;BRONX BRIDGES HIGH SCHOOL;Bronx;40.82229;-73.856167;(40.82229, -73.856167);61.9375;0.712483368703956;-1.2890332870527828;845;1557;0;36;5106;7;1
137;08X452;Bronx Guild;Bronx;40.82229;-73.856167;(40.82229, -73.856167);64.45192307692308;0.712483368703956;-1.2890332870527828;845;1557;0;36;5106;7;1
138;08X519;Felisa Rincon de Gautier Institute for Law and Public Policy, The;Bronx;40.821146;-73.881479;(40.821146, -73.881479);52.40652173913043;0.7124634021373132;-1.2894750647930477;566;2872;0;29;4729;0;3
139;08X530;Banana Kelly High School;Bronx;40.817512;-73.898212;(40.817512, -73.898212);55.10576923076923;0.7123999768722957;-1.2897671107367839;1161;4065;1;149;33000;7;0
140;08X558;Westchester Square Academy;Bronx;40.840702;-73.838545;(40.840702, -73.838545);75.55;0.7128047187258332;-1.2887257251319963;500;2228;1;7;3360;0;2
141;08X559;School for Tourism and Hospitality;Bronx;40.821675;-73.903546;(40.821675, -73.903546);56.111111111111114;0.7124726349290562;-1.2898602065990854;1226;2377;4;170;20130;10;0
142;08X561;Bronx Compass High School;Bronx;40.82229;-73.856167;(40.82229, -73.856167);47.388888888888886;0.712483368703956;-1.2890332870527828;845;1557;0;36;5106;7;1
143;09X227;Bronx Collegiate Academy;Bronx;40.840422;-73.91091;(40.840422, -73.91091);56.06739130434782;0.7127998318039276;-1.2899887326452022;1067;2951;1;164;25577;7;0
144;09X231;Eagle Academy for Young Men;Bronx;40.844958;-73.89705;(40.844958, -73.89705);70.72608695652174;0.712878999938798;-1.2897468300108756;884;4701;2;127;27810;1;2
